08-19T02:44:25,1503110665,28087111,50,15
08-19T02:45:05,1503110705,14087111,50,15
08-19T02:45:45,1503110745,7087111,50,15
08-19T02:46:24,1503110784,3587111,50,15
08-19T02:47:04,1503110824,28087111,50,15
08-19T02:47:44,1503110864,14087111,50,15
08-19T02:48:24,1503110904,7087111,50,15
08-19T02:49:04,1503110944,3587111,50,15
08-19T02:49:44,1503110984,28087111,50,15
08-19T02:50:23,1503111023,14087111,50,15
08-19T02:51:03,1503111063,7087111,50,15
08-19T02:51:43,1503111103,3587111,50,15
08-19T02:52:23,1503111143,28087111,50,15
08-19T02:53:03,1503111183,14087111,50,15
08-19T02:53:43,1503111223,7087111,50,15
08-19T02:54:23,1503111263,3587111,50,15
08-19T02:55:03,1503111303,28087111,50,15
08-19T02:55:42,1503111342,14087111,50,15
08-19T02:56:22,1503111382,7087111,50,15
08-19T02:57:02,1503111422,3587111,50,15
08-19T02:57:42,1503111462,28087111,50,15
08-19T02:58:22,1503111502,14087111,50,15
08-19T02:59:02,1503111542,7087111,50,15
08-19T02:59:42,1503111582,3587111,50,15
08-19T03:00:22,1503111622,28087111,50,15
08-19T03:01:02,1503111662,14087111,50,15
08-19T03:01:41,1503111701,7087111,50,15
08-19T03:02:21,1503111741,3587111,50,15
08-19T03:03:01,1503111781,28087111,50,15
08-19T03:03:41,1503111821,14087111,50,15
08-19T03:04:21,1503111861,7087111,50,15
08-19T03:05:01,1503111901,3587111,50,15
08-19T03:05:40,1503111940,28087111,50,15
08-19T03:06:20,1503111980,14087111,50,15
08-19T03:07:00,1503112020,7087111,50,15
08-19T03:07:40,1503112060,3587111,50,15
08-19T03:08:20,1503112100,28087111,50,15
08-19T03:09:00,1503112140,14087111,50,15
08-19T03:09:40,1503112180,7087111,50,15
08-19T03:10:19,1503112219,3587111,50,15
08-19T03:10:59,1503112259,28087111,50,15
08-19T03:11:39,1503112299,14087111,50,15
08-19T03:12:19,1503112339,7087111,50,15
08-19T03:12:59,1503112379,3587111,50,15
08-19T03:13:39,1503112419,28087111,50,15
08-19T03:14:18,1503112458,14087111,50,15
08-19T03:14:58,1503112498,7087111,50,15
08-19T03:15:38,1503112538,3587111,50,15
08-19T03:16:18,1503112578,28087111,50,15
08-19T03:16:58,1503112618,14087111,50,15
08-19T03:17:38,1503112658,7087111,50,15
08-19T03:18:18,1503112698,3587111,50,15
08-19T03:18:57,1503112737,28087111,50,15
08-19T03:19:37,1503112777,14087111,50,15
08-19T03:20:17,1503112817,7087111,50,15
08-19T03:20:57,1503112857,3587111,50,15
08-19T03:21:37,1503112897,28087111,50,15
08-19T03:22:17,1503112937,14087111,50,15
08-19T03:22:57,1503112977,7087111,50,15
08-19T03:23:36,1503113016,3587111,50,15
08-19T03:24:16,1503113056,28087111,50,15
08-19T03:24:56,1503113096,14087111,50,15
08-19T03:25:36,1503113136,7087111,50,15
08-19T03:26:16,1503113176,3587111,50,15
08-19T03:26:56,1503113216,28087111,50,15
08-19T03:27:36,1503113256,14087111,50,15
08-19T03:28:15,1503113295,7087111,50,15
08-19T03:28:55,1503113335,3587111,50,15
08-19T03:29:35,1503113375,28087111,50,15
08-19T03:30:15,1503113415,14087111,50,15
